title,year,rating,rating_count,genre
Gladiator ,2000,8.5,"1,294,736","Action,Adventure,Drama,5 May 2000 (USA)
"
Jurassic Park ,1993,8.1,"834,297","Action,Adventure,Sci-Fi,11 June 1993 (USA)
"
Saving Private Ryan ,1998,8.6,"1,191,235","Drama,War,24 July 1998 (USA)
"
Pulp Fiction ,1994,8.9,"1,763,342","Crime,Drama,14 October 1994 (USA)
"
Inglourious Basterds ,2009,8.3,"1,216,056","Adventure,Drama,War,21 August 2009 (USA)
"
Knives Out ,2019,7.9,"326,486","Comedy,Crime,Drama,27 November 2019 (USA)
"
Titanic ,1997,7.8,"1,015,544","Drama,Romance,19 December 1997 (USA)
"
Starship Troopers ,1997,7.2,"261,489","Action,Adventure,Sci-Fi,7 November 1997 (USA)
"
Django Unchained ,2012,8.4,"1,303,437","Drama,Western,25 December 2012 (USA)
"
Bombshell ,2019,6.8,"62,541","Biography,Drama,20 December 2019 (USA)
"
No Country for Old Men ,2007,8.1,"820,709","Crime,Drama,Thriller,21 November 2007 (USA)
"
Selma ,2014,7.5,"82,591","Biography,Drama,History,9 January 2015 (USA)
"
The Disaster Artist ,2017,7.4,"130,256","Biography,Comedy,Drama,8 December 2017 (USA)
"
The Matrix ,1999,8.7,"1,615,763","Action,Sci-Fi,31 March 1999 (USA)
"
Moana ,2016,7.6,"255,023","Animation,Adventure,Comedy,23 November 2016 (USA)
"
The Silence of the Lambs ,1991,8.6,"1,219,979","Crime,Drama,Thriller,14 February 1991 (USA)
"
Fight Club ,1999,8.8,"1,790,606","Drama,15 October 1999 (USA)
"
Forrest Gump ,1994,8.8,"1,736,671","Drama,Romance,6 July 1994 (USA)
"
Get Out ,2017,7.7,"463,603","Horror,Mystery,Thriller,24 February 2017 (USA)
"
The Fifth Element ,1997,7.7,"422,260","Action,Adventure,Sci-Fi,9 May 1997 (USA)
"
Guardians of the Galaxy Vol. 2 ,2017,7.6,"542,583","Action,Adventure,Comedy,5 May 2017 (USA)
"
Ford v Ferrari ,2019,8.1,"224,521","Action,Biography,Drama,15 November 2019 (USA)
"
