Movie_ID,title,year,rating,rating_count,genre,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Mystery,Talk-Show,War,Film-Noir,Game-Show,History,Horror,Music,Musical,Reality-TV,News,Romance,Sci-Fi,Sport,Thriller,Western
0,Gladiator ,2000,8.5,1294736,"Action,Adventure,Drama,5 May 2000 (USA)
",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Jurassic Park ,1993,8.1,834297,"Action,Adventure,Sci-Fi,11 June 1993 (USA)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,Saving Private Ryan ,1998,8.6,1191235,"Drama,War,24 July 1998 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Pulp Fiction ,1994,8.9,1763342,"Crime,Drama,14 October 1994 (USA)
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Inglourious Basterds ,2009,8.3,1216056,"Adventure,Drama,War,21 August 2009 (USA)
",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Knives Out ,2019,7.9,326486,"Comedy,Crime,Drama,27 November 2019 (USA)
",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Titanic ,1997,7.8,1015544,"Drama,Romance,19 December 1997 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Starship Troopers ,1997,7.2,261489,"Action,Adventure,Sci-Fi,7 November 1997 (USA)
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Django Unchained ,2012,8.4,1303437,"Drama,Western,25 December 2012 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Bombshell ,2019,6.8,62541,"Biography,Drama,20 December 2019 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
